id;tweet;misogynous;misogyny_category;target
34;Mueller coming for you Bitch😆😉#Resistance 💃🏽💃🏿💃💃🏽 https://t.co/DvaRWlajWx;1;sexual_harassment;active
35;@Herbwilson1967 Fuck that money whore @HillaryClinton Too stupid to know consensual touching or grabbing is not assault. Only @ChelseaClinton is dumber;1;discredit;active
36;how in tf you gonna put your two cents in on something and somebody you don’t know then block and unblock me. Like bitch get off my line😂😂;1;discredit;active
37;Y'all so quick to call a girl a thot meanwhile u eatin and raw dogging every bitch u can 😂;1;discredit;passive
38;@realDonaldTrump You worship money. Quit lyin. Bitch.;1;discredit;active
39;papist whore you are predestined !;1;discredit;active
40;@ennioguardixxx @Official_BimaXX always a good day when you got a sweet puto sucking your dick😀;1;discredit;passive
41;@BetteMidler Hateful bully bitch you are;1;discredit;active
42;@KILLdanyl You gave up on them ages ago when you started sucking chiefs dick;1;discredit;active
43;If You Were My Bitch by The Murderers https://t.co/PdtFGnRpIl #NowPlaying;1;sexual_harassment;passive
44;In space no one can hear you bitch;1;discredit;active
45;Whatttt is you crazyyyy bitch 😂;1;discredit;active
46;Yo bitch ate me up PUSSY nigga 😂 don't test me .;1;discredit;active
47;the most triggering compliment i ever received was 'whew uou fuck like a skinny nigga' bitch im all dick & belly subtract that i am skinny;1;discredit;active
48;What a stupid cunt https://t.co/Wv1rVaId2D;1;discredit;active
49;Sometimes you can't hold a conversation with a person because they will run their mouth like a bitch. Cut them off ☑️✔️✅;1;sexual_harassment;active
50;@SaySplit bitch you crazy as hell if you think you not bringing MY niece to see me. The fuck. i was there when her ass was conceived gahdam!;1;discredit;active
51;@loveforjonghyun Shut the FUCK up you jobless whore;1;discredit;active
52;Say you gon ride, bitch ride;1;discredit;active
53;Can’t help if i want to body slam you cause you’re a dumb bitch. Yeaaaa, I remember you rude customer. Spotted at the gym. 😡;1;sexual_harassment;active
54;@SJV03 @iGhostNinja Stfu side hoe head ass bitch go fuck yourself y don’t u try to get dm in a week;1;sexual_harassment;active
55;Bitch I know you are not there https://t.co/G4WgBg0KcS;1;discredit;active
56;YOU'RE A PUSSY ASS BITCH BYEEE;1;discredit;active
57;@thereallisaann bitch you a hoe... I do not like yo fish booty ass no fuckin moe;1;discredit;active
58;THIS IS FUCKING CHICHARRÓN YOU BITCH https://t.co/Qbrd3NuBLQ;1;discredit;active
59;@CNNPolitics Well guess what son of a bitch. We're not with you and your republican cohorts.;1;discredit;active
60;When you realize @RiceGum rimed Big bird with September and @KEEMSTAR is sucking his dick....Lol sad.@Idubbbz made them both go insane.;1;sexual_harassment;active
61;@Logic301 bitch you welcome;1;discredit;active
62;They call it HB. I’m a hot bitch you a has been;1;discredit;active
63;bitch if jongin wants to give sehun a forehead kiss he will deadass tiptoe and kiss him you think a little height difference will stop him?;1;discredit;active
64;DRAKE! I WILL RIP YOUR HAIR OUT IF I SEE YOU AND THIS BITCH TOGETHER https://t.co/9ZEofzbGbz;1;discredit;active
65;@EbersohlMyra @Lolomonet @mandee_boo @_morganmariaa Bitch you look like a dog;1;discredit;active
66;@Bandboytommy I was like ' Ard bitch you drawn ' lmao;1;discredit;passive
67;Every time I hear a women slut-shame another women for what their wearing I can’t help but think “Bitch you wack as fuck.”;1;discredit;passive
68;If you feel like we have to talk everyday for us to be friends then bitch bye ✌🏽;1;discredit;active
69;@TrillLilMo__ I miss you too bitch😩💟;1;discredit;active
70;You'll never be girlfriend or wife or none of that 😌 that's MY place bitch know your role and play your position 🤣🤣🤣 the rebound one 😂😭😭😩✌🏾;1;discredit;active
71;@misumqt @Don_Sakazuki you cunt.;1;discredit;active
72;Bitch you can't keep up so stop trying;1;dominance;active
73;My new bitch just called me and said I got something for you 😩🤗🎉;1;discredit;active
75;Bitches had me spending a night in jail, bitch you finna spend a night in the hospital on Lzzzzzzzz 😂😂💯💯💯💯💯💯;1;sexual_harassment;passive
76;I kno this bitch pussy smells really bad because she cook steak rice n corn everyday;1;discredit;active
77;This stupid Bitch Lied. https://t.co/KOeOdaibX7;1;discredit;active
78;@Davidsalas87 Cause you're a Bitch and you love those situations! 🤷🏼‍♂️;1;discredit;active
79;Boy don't nobody gaf about you nomo and don't be a bitch and switch accounts https://t.co/qTBPHg25nW;1;discredit;active
80;Fuck you bitch !;1;discredit;active
81;@havoc5656 Fuck you, you dirty red-jesd whore.;1;discredit;active
82;@rawideasinc @Impeach_D_Trump Maybe #karma will eliminate the problem..she‘s known to be a bitch. If you hear me Karma..sure be sweet if you gave Mueller iron clad proof.;1;discredit;active
83;I just wanna be a WOMAN to a MAN , NOT a BITCH to a NIGGA 🗣💯 you get me?;1;discredit;active
84;Ain't with that bopping shit bitch and you know;1;discredit;active
85;As was planned all along by that bitch trump and his pimp Putin. https://t.co/9JBZEtpKeU;1;discredit;active
86;when you go to park all by yourself then some bitch fuck decides they wna park right next to you 😑;1;discredit;active
87;@mermaidnoriega ITS HAPPENING BITCH! I HOPE YOU HAVE THE BEST TIME EVER 🙌🏻 HES GONNA LOVE YOU SO MUCH ♥️;1;sexual_harassment;active
88;lately I've noticed myself saying things aloud that I usually keep to myself + I have realized people think ur a bitch if you speak ur mind;1;discredit;active
89;Idk how people in relationships are just so free with that bitch word. You could never get close to me if that’s how you gon speak to me. https://t.co/6aU8OnvyJP;1;discredit;passive
90;@RageOnThePage @TwitterMoments Shut the fuck up bitch how do you know what people have and don't have?;1;sexual_harassment;active
91;I SAID WHAT I SAID DELETE THAT BITCH YOU CANT BEAT MY ASS https://t.co/wSu2YqDStL;1;sexual_harassment;active
92;@markiplier BITCH! You can't acted like nothing happened by changing your profile picture!! My theory was Right!;1;stereotype;active
93;*opens twitter* hi everyone i just wanted to remind you that i am THAT bitch thank you very much for listening please enjoy your meal;1;discredit;active
94;sexy latina shower blowjob Girl Sucking Cock And Cumswallow;1;sexual_harassment;active
95;stop pulling shit out of your ass dumb hoe https://t.co/gpqxCYKf5G;1;discredit;active
96;brooklyn 9-9 and new girl cross episode bitch i’m ded;1;discredit;active
98;@forevertei Bitch you can still buy shit hit the hood stores 😂;1;discredit;active
99;Or text you “ I called you “ 😒😒 bitch I know , I watched it ring https://t.co/gK7JFAjLNZ;1;discredit;passive
101;@flamaecor D: wtf pls tell me you punched his whore ass face;1;discredit;active
102;You dance your ass off for like 10 hours straight, you walk out that bitch with a six pack;1;stereotype;passive
104;Cringe worthy teen fiction. Bad boy Good girl romances. All straight shit. Like bitch I don't claim 13 or 14 year old me.;1;discredit;active
105;cuf yo boy and yo girl Have you heard ‘pull a bad bitch’ by Reese's stuffed with on #SoundCloud? #np https://t.co/7lWhxofn0q;1;discredit;passive
106;"This girl ordered an OREO frappe and got mad at me cause it was “too dark” &amp; she wanted it to be white... bitch WHAT 😩😂😂";1;discredit;active
107;@ashitudeprobs You know you can always block me right ? Or are you an attention whore ? Waiting for your feminist friends to get on line;1;discredit;active
108;And HE HAD ANOTHER GIRL WITH HIM bitch she was shook https://t.co/eesqEv93gn;1;discredit;active
109;I wanna give a bitch my heart but i can’t though, can’t fall in love with a stank hoe;1;discredit;active
111;Can this stupid bitch hurry TF up I'm trying to take my cousin to the park;1;discredit;active
112;@bruhkari Why do you think that hoe is in the back seat? Lol;1;discredit;active
113;My bitch a model, lil nigga, you could ask Tyra Banks That pussy wet like a bottle, change them sheets every day;1;discredit;active
114;Y'all do everything in ur power to bring the next woman down BUT the moment something is happening to u, everybody a fan and on ur dick😂😂😂😂😂;1;discredit;passive
115;@yassssica U FUCKING HOE WE GOT UPPER BECAUSE YOU SAID YOU WANTED UPPER;1;sexual_harassment;active
116;@Rznnick @SpIashMan @JetpackerMarc @MxniakCOD Don't @ me chall you can just dm you stupid cunt trying to look good for your twitter;1;discredit;passive
117;see panny your lips are so pig big becuz you suck your husbands dick too much in your orgies with paris.;1;sexual_harassment;active
118;Would you rather the girl you’re fucking have nose as long as your dick, or her nipples? #weedthoughts #armsesh420;1;discredit;active
119;also this girl tried to twerk me away from barricade FUCK YOU suck my dick!;1;sexual_harassment;active
120;"s/o to the fuckboys that call you a hoe, but then dm you saying “I want you &amp; I think we have something” @ricardoxfarfan";1;discredit;passive
121;This bitch said idk bout u but sometimes u gotta suck a lil dick , wait even that ain't helping u 🙄😩🤦🏽‍♀️😂😂😂😂;1;discredit;active
122;@rickygervais @demontforthall Come to Australia, you fat cunt;1;discredit;active
123;You gotta throw glitter after that. Bitch pussy must be SERIOUS.;1;sexual_harassment;passive
124;@thatonequeen You betta beat down each one of them with your cunt;1;discredit;active
125;Men just love to say feminists in the US don’t care about women in 3rd world countries lmaooo bitch I can multi task.;1;discredit;passive
126;'You sure you not gay? Cuz you be talking like you got the biggest dick here.' 😂😩;1;derailing;active
127;@Machaizelli What if gay fuck girl , does he dick her like straight or like gay ??? Welcome to the mind fuck XD I… https://t.co/DtRqH6q6Lr;1;sexual_harassment;passive
129;@SadiqKhan Go fuck yourself you duplicitous cunt;1;discredit;active
130;Portland Police why don't you suck my big ass cock huhuhuhuh;1;dominance;active
131;@keelaiii HaahHahanahA this girl stilllllll going😂 'loner ass no real friends having ass bitch' YASSSSSSSSSSS💁🏽😂💰;1;discredit;active
132;I just saw a girl slap the shit out of her bf called him a hoe and walked away 😧;1;stereotype;active
133;When I start spending money on you, then you mean something to me cause Ian investing my money in no hoe;1;discredit;passive
134;Oh GOD...GOOD BYE...NICE GIRL HERE COMES THE BITCH;1;stereotype;passive
135;@SaxahSarah I'll send Meechy at yo hoe if yo bitch keep eyein' me;1;discredit;active
136;I’m so tired of older women at work asking me if I got married because I im pregnant like no bitch and I don’t plan on it.;1;discredit;passive
137;@kimtaeyeoll ok bitch i was gonna be cheesy af but knowing your ass you were gonna ruin it so;1;discredit;passive
138;I Can't Fuck Wit You No More Ho And Im Sorry You A Disloyal Ass Bitch Ho You Sorry;1;discredit;active
139;it's sad to see a fine girl be a hoe😪;1;discredit;passive
140;This bitch on my ig started to burn a howie long Jersey just cuz her ex bought it you stupid senseless women don’t get yourself smacked😤😐👋🏾;1;sexual_harassment;active
141;@FemalesFighting If your body is female, you can't identify your way out of rape. Rapists don't care.;1;sexual_harassment;passive
142;Superman ain't savin' shit girl you can jump on Shady's dick;1;stereotype;active
143;Get ur fucking knowledge up if u wanna sneak diss me. Lil stupid hoe;1;discredit;active
144;2. you'd stick your dick in a girls pussy but not kiss her mouth? you see her scrubbin her insides w a toothbrush?;1;sexual_harassment;passive
145;@AnngelicaaPerez Bitch come out you love to talk shit on the phone that's why I let your dad know she raised a FUCKING HOE;1;discredit;active
146;Why is it women avoid Twitter day on the rare day I’m actually here?? I’ll bitch for the woman whose account was suspended. #makeJackBeJane;1;discredit;passive
147;@JaredAWhite3 fucking dallas cowboy jerkoff you and your state can suck a dick;1;sexual_harassment;passive
148;@Yrgirlnayeli bitch that hoe mad annoying like i fr logged of your twitter bc it kept going off;1;discredit;active
149;@libblyfolfaxu fake ass bitch just like Kylie hoe https://t.co/nlG97DGBjv;1;discredit;active
150;🖕🏽 you hoes 🖕🏽 you fake lovers 🖕🏽you one night standers 🖕🏽 passenger side rider driver dick suckers 🖕🏽 you baby mamas cause I’m not ya BD🖕🏽;1;discredit;passive
151;Not interested of being a bitch like you 😂 i prefer to be a good cute girl 😛 nak melalak melalak sorang sorang ok;1;discredit;active
152;65 hoes on my dick bitch it’s Christmas;1;discredit;passive
153;@CyV_SW Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈;1;sexual_harassment;active
154;How does my pussy taste bitch;1;discredit;active
155;@lillyparadise13 you’re a fucking nobody. You just take advantage of people that care for you. Good on you whore;1;discredit;passive
156;I can lose weight, but you’ll always be a cunt ♥️ Don’t come at me, I will shut you the fuck down https://t.co/ZuGw6sqK6L;1;sexual_harassment;active
157;Deeper than doggy sis 💀when he done you can still feel it sis 💀 don't let that dick goooo https://t.co/rNbiRk46px;1;sexual_harassment;active
158;@CRMW87 @Gavlar_T Happy birthday you Yorkshire cunt 😘 xxxxxx;1;sexual_harassment;active
159;Got yo bitch on her knees she suck the dick wit no teeth 🌷;1;discredit;active
160;GRAYSON STARED AT A GIRL FOR STRAIGHT UP 30 SECONDS AND SMILED BITCH IM SHOOK &;1;sexual_harassment;active
161;CW:Hoo what you guys doing?! CW2:Im buying Ricky's Sausage it's $12! CW:I didnt know you were such a cheap whore😂 My face while they laugh 😒;1;discredit;active
162;@JustAGurLnSwedn @Maggyw519 @BroderWriter @womensmarch @SenSanders Fuck off JAG you ignorant slut with your sad pink paper.;1;discredit;active
163;I may be a shy bitch but that do not be meaning I let ppl walk on me like a doormat yo this girl goes 0 to 9999999999 real quick;1;discredit;passive
164;For an anon calling me a “whore” you should look at yourself first. If you want to call me a “whore” take... https://t.co/2zdADVWWsH;1;discredit;active
165;@DCClothesline And she blames Trump!! Jane, take a knee for Harvey, you helped him rape those girls by your silence. YOU DID, not Male Entitlement or Trump;1;sexual_harassment;active
166;@MMAjunkie @bisping reminds me of the annoying bitch cunt from school that first touches you and when you give it back ,accuses you of assault;1;sexual_harassment;active
167;Right. I don't see how bitches can be friendly knowing the next bitch had that dick! 😒 y'all different https://t.co/VppGRK4e5v;1;sexual_harassment;active
168;@roseisagee Girl people really do that, like damn bitch you so selfish you don’t wanna rt me and get me clout;1;discredit;passive
169;these hoes done called me kelly jr bitch fuck them 😩😂😂😂;1;discredit;passive
171;@Chaantellie @BBSuperFan4 and women have done the same over dick but ok girl;1;discredit;passive
172;How am I being both a nice person and a bitch to the straight girl at this party at the same time;1;sexual_harassment;active
173;@VlCTAH hey fuck you cunt #cyberbullied;1;sexual_harassment;active
174;Was asking my friend how big her boyfriends dick was and she goes idk I have to have it in my mouth to tell you 😂😂;1;discredit;active
175;For that dumb ass pussy that thought he could step to me, 1004 Franklin Ave, anytime you wanna get it bitch;1;discredit;active
176;@kornhub123 you fuck off, you're so loud cunt;1;discredit;passive
177;Literally just saw a 10 year old girl wearing a shirt with sparkles that said 'doing my best' fucking same bitch where'd you get that😂😂😂👽⚠✖ https://t.co/24tSFVM9Ps;1;discredit;active
178;@_miidnightr Wanna speak down to my girl bitch then step up big nose ass bitch. Saw that shit off.;1;discredit;active
179;You aint no shit, you lil' stupid ass bitch. #TuitSiMikeFueraDelGhetto;1;discredit;active
180;Apparently, you /can/ turn a hoe into a housewife;1;stereotype;passive
181;Girl: I don't suck dick Boy: I'm sorry I didn't catch that but it sounded like you said you're gonna learn today.;1;discredit;active
182;Am I riding, sucking, fucking your dick?! Noooooo! So why are you concerned about wtf I'm putting in MY mouth;1;sexual_harassment;active
183;@ALXANAX AY YOU STUPID BITCH;1;discredit;active
184;@MensVoicesIRL are you going to be talking about toxic masculinity, privilege, rape culture or just have a bitching session about women?;1;stereotype;passive
185;@DonnaWR8 @realDonaldTrump PREACH ON Look up Whoopi saying Roman Polanski wasn't rape, rape because girl was drinking!!! Check it is still there;1;sexual_harassment;active
186;Bitch stop playing with me and drop my shit off ! What u do after that ain't no problem because I know they gone send u back lil whore 😂😂;1;discredit;active
187;The bitch can go with whoever she wants now I guess. I already took that V & destroyed every hole she got anyway. Raw too. #PETTY;1;discredit;active
188;@ THE BROKE BITCHES WHO ARE PARTYING IN MY OVARIES. I HOPE YOU FUCKING DIE AND ROT IN HELL YOU STUPID UGLY ASS BITCH;1;sexual_harassment;active
189;@momosyaoyorozus guilty gear you fucking whore;1;discredit;active
190;But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂;1;discredit;active
192;@EthanDolan can we meet i wanna staunch you ous ous cunt;1;sexual_harassment;active
193;@darrellinyvr Show is the back view, your ass and hole;1;sexual_harassment;active
194;@HornyChunLi 'I can say the about your thick ass.' *Continues to drive his massive cock through her pussy nice and deep*;1;sexual_harassment;active
195;@Alis68a Well. They say black guys are hung. Obviously you have some Korean in you. Thats a piss poor excuse for a black cock.;1;sexual_harassment;active
196;You slut shaming the girl , all ya friends laughing but they low key like half her pictures & threw some heart eyes under her shit 😂😂😂LAME;1;discredit;active
197;@SlutMagn3t Wow!! Never seen a woman juggle a big cock like that;1;sexual_harassment;active
199;Dear white girls: Regardless of how much black dick you’ve had in your mouth you don’t get a pass to freely say “nigga.” Ever. Lol.;1;sexual_harassment;passive
200;@_nathan_kerr Do you have a massive cunt? (I don't count.);1;sexual_harassment;active
201;"@naughtyohiobabe mmm perfect body and so am i am now come here girl i got a big cock for u to play with ;)";1;sexual_harassment;active
202;Babygirl you Can’t trip over a nigga who dick can’t tap yo pussy automatically 😂;1;discredit;passive
203;Silas: Perhaps I should treat you like a common whore Takumi: fuck you Takumi’s brain: please holy shit;1;discredit;active
204;alright fellas all the girls are asleep so i'm here to pose a question: is sucking your own dick gay bc you technically just masturbating;1;sexual_harassment;active
205;@M_AubScates97 Don’t talk shit on me when everyone calls you a whore too boo❤️;1;discredit;active
206;@JuliaHB1 You work for the S*n, standard practice to be a lier and a complete cunt.;1;discredit;active
207;Once a hoe cross me on some fake shit then want play victim I could never be friends again yea I forgive you but I can't fwu like that ma!;1;discredit;active
208;Bad bitch on my dick thas what them racks do;1;sexual_harassment;active
209;Besides the point he called me a bitch and told me to go get some dick so I could be more happy in life;1;discredit;passive
210;What a stupid bitch. You really think You was slick and that I wouldn’t find out.;1;discredit;passive
211;Is it rape if you stick your finger in a bootyhole when they sleep?;1;sexual_harassment;passive
212;Ladies, Before you request a dick pic, you must send a nude first. Be mindful.;1;sexual_harassment;passive
213;to every bitch who didn’t love me or loved me when it was too late thanks you led me to her to the woman i love thanks for loving me back;1;stereotype;passive
214;Happy birthday to my favorite bitch @CourtneyMcMahan ❤❤❤. It's honestly hard to imagine my life without you so I hope you have a g8 day 😘😘😘😘 https://t.co/0EMmpsrrJ0;1;discredit;active
215;fuck marty that cunt ass pussy bitch;1;sexual_harassment;active
216;I saw a woman dressed up like a hot dog tonight. Bitch, it ain't Halloween yet;1;discredit;active
217;@Slutty_Elf @RiotQuickshot You shut your whore mouth;1;discredit;active
218;Hey @alauddin_s maybe you deserve a dick up your ass since your profile picture is a selfie as well 🙂🙂🙂🙂 https://t.co/7dO7wVRnjp;1;sexual_harassment;active
219;@Ronnie2K FUCK YOU STUPID BITCH;1;discredit;active
220;Don't involve me in no hoe buisness #1 rule let a bitch choose I ain't never beefing bout NO bitches😩💯🔊;1;discredit;passive
221;@tilIicollapse yoU FUCKING WHORE WHY DIDNT YOU TELL ME https://t.co/sH8HFNmB6T;1;sexual_harassment;active
222;IM NOT EVEN 20 MINS IN THE MOVIE BUT THE WOMEN IN BLADE RUNNER DESERVE SO MUCH MORE ! BITCH !;1;derailing;active
223;Why you always actin mad? Always bringin' up my past You in your feelings about a hoe that don't matter Know that I'll give you my last;1;stereotype;active
225;Some girl was confessing her feelings for me at the club ...LMAO BITCH I DONT EVEN KNOW YOU 😂;1;sexual_harassment;active
226;Why did women vote for Trump? bitches will vote for a bitch;1;discredit;passive
228;its cold asf like who tf touched the dam air stupid whore 😒;1;discredit;active
229;@SinFulCeleste Wish my cock was between your tits while you licked and suck its tip 💦💦💦💦💦💦💦💦💦;1;sexual_harassment;active
230;Love when boys think you don’t know things..Hun I know every girl you’ve spoke to, for how long and where the bitch lives 💁🏼🙆🏼🙋🏼;1;discredit;active
231;Where the fuck is the fucking foul there you stupid daft cunt ref?! https://t.co/NQFAa5IUMZ;1;stereotype;active
232;@Nath569 Get up and walk the dog you little cunt before I ground you.;1;sexual_harassment;active
233;'And if you ain't a hoe get up out my trap house'. -Amelia Earhart 1933;1;discredit;active
234;So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to scream.bitch;1;discredit;passive
235;Fuck you, you hoe I don’t want you back;1;discredit;active
236;For when you already graduated, but want to let the boys know you were the Catholic school slut. https://t.co/e8iM84EBy5;1;discredit;active
237;@NOCLOUTZHAIRE Bitch ass hoe from empire;1;discredit;passive
238;'Ain't about them hoes anymore,it's just you' yet you talking sweet to the bitch you ALWAYS talked shit about plus 2 more👏🏽GMFU BRO💀;1;discredit;active
240;Come over and spend time w/ this girl shes never met??? BITCH WAT;1;discredit;active
241;STOP SMELLING THOSE SANDWINCHES YOU HIDEOUS COCK, SHE'S ESCAPING TO THE SIDE;1;sexual_harassment;active
242;If Edward’s friends try to defend him, bitch I’m reporting these hoes;1;discredit;passive
243;@Ba1dere @BroTeamPill @Circumsoldat Yeah but also Circum did a beautiful performance of Shakespeare's 'Taming of the Woman Who Is A Bitch';1;discredit;active
244;@Keguro_ The women act like they don't have options. Yet dick is all over. When women realize there is EXCESS men is when they stop putting up trash.;1;discredit;passive
245;@tinaokore But you are one if the concubines whose reasoning capacities are embedded in your cunt;1;stereotype;active
246;@PritishNandy Yeah it's terrible not to be able to pull your dick out in front of women and wank into flowerpots. Age of chivalry is dead;1;sexual_harassment;passive
247;@DailyMailCeleb @DailyMail Shame , bitch u were a silent by sander while many women suffered.;1;discredit;active
248;black hood bitch needs dick help with this kind of pussy https://t.co/4nPYFe1SVq;1;discredit;active
249;Domestic violence against women like abuse, rape etc are on the rise in #Nagaland, according to Gender Statistics Nagaland 2016 https://t.co/fn4uX0igCt;1;discredit;passive
251;I just want my girl to suck my dick with my Nike head band on;1;sexual_harassment;active
252;@tinaokore The cunt from where you earn a living.;1;discredit;active
253;i'm finna block this hoe cus bitch u weird fr.;1;discredit;active
255;'Slut rhymes with butt and that's what you are' @gopickupravine;1;discredit;active
256;"@buthaina_jrab HAPPY BIRTHDAY you beautiful, exceptional, smart sass, and breathtaking woman I love you &amp; I hope midterms suck a dick❤️";1;discredit;active
257;All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres;1;discredit;active
258;All I think about is bread, and tell ya bitch get off my dick she keeps trynna give me heaaaad;1;discredit;active
259;Or your girlfriend a hoe & tricking 💰😭 https://t.co/XeZuHzrR6Z;1;discredit;active
260;@CloverDaddy If I slap you eh, fucking hoe;1;sexual_harassment;active
261;@jhanyaaa_ @gloyaltydeee You a hoe if there's other bitches;1;discredit;active
262;you're not fucking important you're not shit get your ass outta here before you meet hollow tips to your temple BITCH;1;discredit;passive
263;@erky_g @cvollair Your hoes hit you up bitch. Stfu;1;discredit;active
264;I'll never understand why some women pride themselves on being a 'crazy bitch' like its attractive or something...;1;discredit;active
265;@RRyan012 You are the sloppy queen of sucking cock;1;discredit;active
266;“He tried to talk to me sis” First of all I heard you were a Hoe and I was horny;1;sexual_harassment;active
267;@polNewsInfinity Eminem used to be cool, now he is nothing but a weak Pussy with weak freestyle Rap of him being a little Bitch.;1;discredit;active
268;@dimasagustini ahshshsjs IM GONNA KILL A BITCH!!!! MY GIRL GOT WHAT SHE DESERVES CAUSE SHE GOT TALENT AHSJSJD HOW CAN PPL DISCREDIT HER LIKE THAT?!???!!;1;sexual_harassment;active
269;@ExaltedSleeve 'What, can a whore like you not cum without a thick cock inside them? I didn't imagine you to be so... pathetic~';1;stereotype;passive
270;@Finnsfiction @Twitter Not too much. Having to suck cock for a job is too much, unless that is the job you chose.;1;sexual_harassment;active
271;You know damn well your bitch pussy get wet for a nigga;1;sexual_harassment;active
272;i literally don’t understand how a bitch don’t like me this much to be checkin fa me EVERYDAY. this hoe got a shrine of me in her phone;1;stereotype;active
273;I'm sorry but you damn hoe and you don't even know it 🤦🏾‍♂️;1;discredit;active
274;@BitchItsCherry so you're good at drag and drawing ,,, I fucking hate you you stupid talented bitch;1;discredit;passive
275;Roses are red, violets are blue. You a bitch ass hoe, and yo momma one too. @sha_babyy17 Yeet;1;discredit;active
276;Bitches be going stupid for dick.;1;discredit;passive
277;Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke🙃;1;discredit;active
278;I’ll still fuck a stupid Bitch up tho;1;sexual_harassment;passive
279;Pussy ain't paying the bills unless you hoein 👐🏽 and Iont fuck with hoes so get a job bitch;1;discredit;passive
281;I'm just over here laughing at how this little ol' white girl came at Sam and thought she was gonna win... LIKE BITCH DO YOU KNOW WHO WE ARE;1;dominance;active
282;@sza got these hoes thinking sharing a nigga or being a side bitch is cool 🤦🏽‍♀️;1;discredit;active
284;@REmKaneki @NoblemanBASED Ok now you for sure lying whore!;1;discredit;active
285;Bitch if you aine signing my checks, grading my papers, or PAYING MY BILLS then your ass is irrelevant.;1;discredit;passive
286;rich kid will always date another rich kid then he girl would say shit like 'i don’t want his money i want him' bitch you’re rich too stfu.;1;discredit;active
287;So the bitch forces Amy to pretend to be his girlfriend to be relatable for once.;1;discredit;active
288;never waste a hoe's time, bitch I'm on my own time 💅🏼;1;discredit;active
289;@heartdoIan you ruined it hoe, i was going to say “because i love you” bye;1;discredit;active
